"n","tiempo (ns)"
1,1182
2,1273
3,1453
4,1624
5,1728
6,1784
7,1945
8,2260
9,2275
10,2350
11,2586
12,2641
13,2751
14,2957
15,3207
16,3337
17,5367
18,5598
19,5798
20,5933
21,6093
22,6234
23,6570
24,6530
25,6726
26,6780
27,7046
28,7227
29,7602
30,7713
31,8039
32,8313
33,8494
34,8550
35,10725
36,12188
37,12273
38,12403
39,13135
40,13451
41,13480
42,13847
43,13826
44,13932
45,14613
46,14954
47,14818
48,15184
49,15394
50,15996
51,15711
52,15961
53,16312
54,16563
55,16898
56,17134
57,17103
58,17550
59,4785
60,4809
61,4940
62,4999
63,5033
64,5082
65,5009
66,5080
67,5179
68,5151
69,5228
70,5275
71,5965
72,6054
73,6885
74,7069
75,7092
76,7434
77,7591
78,7511
79,7655
80,7720
81,7761
82,7738
83,7981
84,8018
85,8123
86,8647
87,8255
88,8165
89,8295
90,8314
91,8622
92,8525
93,8509
94,8694
95,8453
96,8792
97,8690
98,8882
99,9075
100,9031
101,9190
102,9186
103,9674
104,9411
105,9613
106,9725
107,9685
108,9631
109,9913
110,10045
111,10128
112,10192
113,10061
114,10343
115,10440
116,10269
117,10864
118,10677
119,10798
120,11807
121,11851
122,11385
123,11878
124,11634
125,11792
126,11986
127,12101
128,12286
129,12583
130,13104
131,12949
132,12924
133,12659
134,12501
135,12624
136,12346
137,11937
138,12170
139,12018
140,12152
141,12120
142,12351
143,12985
144,13393
145,13843
146,14206
147,14786
148,15121
149,15706
150,16162
151,16099
152,16161
153,16392
154,16643
155,16747
156,16786
157,16732
158,16927
159,16566
160,17308
161,17229
162,17289
163,17246
164,17506
165,17154
166,17404
167,17761
168,17527
169,17939
170,17885
171,19281
172,18348
173,18209
174,18376
175,18203
176,18298
177,18608
178,18351
179,18569
180,18702
181,18834
182,18731
183,19161
184,19268
185,19174
186,19648
187,19244
188,19457
189,19354
190,19258
191,19528
192,19823
193,19941
194,19699
195,19899
196,19993
197,20167
198,20317
199,20408
200,20303
201,20622
202,20905
203,20856
204,21003
205,21006
206,22325
207,20924
208,21300
209,21029
210,20975
211,20994
212,21736
213,21788
214,21459
215,21360
216,21456
217,21649
218,21408
219,22015
220,21962
221,22031
222,22160
223,22328
224,22145
225,22451
226,22371
227,22768
228,22231
229,22209
230,22936
231,22951
232,23059
233,23266
234,23726
235,23228
236,23253
237,23954
238,23841
239,23680
240,23402
241,24125
242,23919
243,24023
244,23982
245,24220
246,24261
247,24271
248,24441
249,24440
250,26349
251,26179
252,24670
253,24671
254,24821
255,24965
256,24606
257,25158
258,24880
259,25418
260,25730
261,25480
262,25787
263,25736
264,25464
265,25402
266,26089
267,25702
268,25746
269,25773
270,25205
271,25670
272,26273
273,25867
274,25982
275,25514
276,25664
277,26096
278,26380
279,25993
280,26490
281,26672
282,26415
283,26860
284,26557
285,27177
286,26763
287,26706
288,28339
289,28925
290,29153
291,29199
292,29852
293,30791
294,30805
295,31409
296,31246
297,32128
298,32634
299,33292
300,33370
301,33892
302,34003
303,34955
304,34792
305,34742
306,35013
307,35291
308,35336
309,35630
310,35696
311,35748
312,35876
313,35933
314,36075
315,36257
316,36074
317,35873
318,36244
319,36138
320,36518
321,36428
322,38197
323,36946
324,36297
325,37297
326,36646
327,36917
328,36934
329,36545
330,37339
331,37300
332,37784
333,37182
334,38089
335,38144
336,37743
337,38260
338,38010
339,38309
340,37915
341,38548
342,38556
343,38841
344,38547
345,39336
346,38967
347,39101
348,39443
349,39034
350,38949
351,38887
352,39647
353,39586
354,39814
355,39469
356,40032
357,39825
358,39947
359,40004
360,40175
361,40068
362,40210
363,40567
364,40645
365,39818
366,40066
367,39953
368,40782
369,41348
370,40612
371,41506
372,40830
373,41765
374,41450
375,41550
376,41535
377,42004
378,41480
379,41566
380,41017
381,41818
382,42786
383,42955
384,42528
385,42584
386,43035
387,43048
