"n","tiempo (ns)"
1,520
2,465
3,492
4,503
5,537
6,572
7,640
8,601
9,661
10,649
11,717
12,680
13,709
14,735
15,819
16,798
17,822
18,908
19,1043
20,999
21,952
22,1016
23,1049
24,930
25,1081
26,1137
27,1045
28,1142
29,1184
30,1136
31,1471
32,1387
33,1418
34,1388
35,1476
36,1572
37,1528
38,1323
39,1478
40,1595
41,1402
42,1723
43,1664
44,1681
45,1668
46,1982
47,1580
48,1602
49,1932
50,1969
51,1799
52,1937
53,1828
54,1838
55,1801
56,1905
57,2447
58,2050
59,2227
60,2278
61,2014
62,2162
63,2434
64,2276
65,2460
66,2038
67,1967
68,2448
69,2498
70,2099
71,2285
72,2254
73,2415
74,2395
75,2266
76,2459
77,2502
78,2554
79,2463
80,2873
81,2716
82,2876
83,2790
84,2830
85,2828
86,2210
87,2838
88,2435
89,2927
90,2825
91,2764
92,2331
93,2732
94,2881
95,2846
96,3045
97,3145
98,2863
99,2594
100,2940
101,2963
102,3363
103,3567
104,3323
105,3287
106,3022
107,2958
108,3394
109,3659
110,3057
111,3148
112,3114
113,3139
114,3620
115,3649
116,3543
117,3471
118,3302
119,3243
120,4334
121,4135
122,3995
123,3376
124,3582
125,2985
126,3212
127,3570
128,4172
129,4516
130,3707
131,3338
132,4314
133,4155
134,4050
135,3314
136,4273
137,4402
138,3932
139,3505
140,4106
141,4517
142,3968
143,4472
144,4218
145,4086
146,3866
147,3851
148,4678
149,4176
150,4657
151,3937
152,4663
153,4266
154,3750
155,4359
156,4163
157,4183
158,4094
159,4799
160,3900
161,4403
162,4383
163,4150
164,4056
165,4811
166,4544
167,4480
168,4867
169,4581
170,5044
171,4983
172,4556
173,5020
174,4508
175,4724
176,5470
177,5865
178,5693
179,5307
180,5861
181,4988
182,5826
183,5856
184,5126
185,4685
186,4654
187,4336
188,5201
189,5412
190,5441
191,4810
192,5619
193,5612
194,4727
195,6174
196,5019
197,5303
198,5416
199,5386
200,5235
201,6106
202,4454
203,5996
204,6425
205,5269
206,6198
207,5437
208,6025
209,6073
210,5767
211,6556
212,6460
213,5466
214,6239
215,6580
216,6014
217,6154
218,6232
219,6383
220,6155
221,7123
222,5715
223,5776
224,6721
225,6741
226,5595
227,6963
228,6413
229,6361
230,6300
231,6626
232,6717
233,5865
234,7043
235,6460
236,6169
237,6255
238,6477
239,7831
240,6281
241,7184
242,6486
243,7001
244,6720
245,6673
246,7011
247,7588
248,6948
249,6817
250,6357
251,7744
252,6531
253,6534
254,6195
255,8030
256,7887
257,7320
258,7430
259,6296
260,7271
261,6067
262,7034
263,7320
264,7669
265,7381
266,6963
267,6400
268,6694
269,7345
270,7987
271,6901
272,5910
273,7465
274,8129
275,7423
276,7752
277,8612
278,6861
279,7104
280,6790
281,7639
282,7946
283,7443
284,8719
285,6638
286,8367
287,8276
288,8729
289,6653
290,9288
291,7782
292,7980
293,8376
294,7830
295,8114
296,9351
297,9323
298,8952
299,8875
300,9501
301,8736
302,9161
303,8198
304,7747
305,7881
306,8301
307,9832
308,8839
309,7156
310,8934
311,8884
312,8091
313,8841
314,10515
315,8683
316,9159
317,9337
318,6900
319,7911
320,8543
321,8882
322,9027
323,8944
324,8624
325,9512
326,9133
327,8401
328,8985
329,8828
330,9096
331,7106
332,8908
333,9311
334,10142
335,9200
336,9392
337,8456
338,9571
339,8167
340,8883
341,10274
342,11153
343,10377
344,9475
345,9710
346,7915
347,9074
348,9866
349,11277
350,9045
351,9806
352,9219
353,8342
354,10345
355,9589
356,10071
357,9887
358,10257
359,9700
360,11998
361,10961
362,8924
363,11227
364,8460
365,8965
366,7627
367,8047
368,9277
369,7550
370,8710
371,11153
372,10132
373,9007
374,8189
375,11830
376,9874
377,10597
378,9747
379,11928
380,10412
381,10473
382,10417
383,10334
384,9625
385,12551
386,11122
387,10202
388,9590
389,11108
390,9812
391,10474
392,10184
393,12662
394,11413
395,9391
396,11496
397,11333
398,10967
399,9459
400,11416
401,9695
402,12500
403,10615
404,9552
405,11916
406,12040
407,11804
408,10900
409,9177
410,9710
411,11563
412,11557
413,11696
414,12538
415,11088
416,10809
417,11656
418,11967
419,10472
420,10963
421,10874
422,12828
423,11961
424,9304
425,11280
426,11358
427,12100
428,13930
429,9106
430,11957
431,12778
432,10236
433,11953
434,12598
435,11184
436,13317
437,10479
438,12066
439,11913
440,11123
441,11729
442,11462
443,11976
444,9461
445,11271
446,10576
447,11043
448,13294
449,12842
450,13402
451,12431
452,13204
453,11003
454,11897
455,14286
456,11252
457,10418
458,10987
459,9520
460,12861
461,14072
462,11104
463,10254
464,13093
465,11992
466,12889
467,12253
468,11732
469,14197
470,14174
471,12752
472,11267
473,13864
474,13337
475,13512
476,12154
477,13452
478,11644
479,12487
480,13592
481,11879
482,13391
483,13068
484,12156
485,14050
486,16094
487,11529
488,13615
489,13282
490,10747
491,12206
492,15281
493,13306
494,13117
495,11191
496,9154
497,14343
498,14121
499,12757
500,15149
501,15041
502,13453
503,13496
504,15070
505,15277
506,11935
507,15296
508,16079
509,16379
510,13153
511,12886
512,14190
513,13830
514,13836
515,12369
516,14391
517,12480
518,16652
519,12320
520,13729
521,12206
522,14455
523,13954
524,15186
525,14065
526,14101
527,12515
528,11691
529,13589
530,14445
531,13884
532,16472
533,15603
534,16322
535,15674
536,14912
537,12485
538,15696
539,13423
540,13821
541,12706
542,15887
543,13507
544,11478
545,17379
546,13410
547,16993
548,14616
549,15129
550,16125
551,15158
552,12426
553,15036
554,14104
555,13208
556,12874
557,13713
558,15449
559,13301
560,14970
561,14080
562,15223
563,14269
564,15446
565,12116
566,16350
567,14638
568,16093
569,17906
570,13543
571,17221
572,15686
573,15715
574,16712
575,12891
576,12703
577,14731
578,17537
579,15913
580,16023
581,16472
582,14055
583,14649
584,18180
585,17040
586,16851
587,17048
588,16233
589,15551
590,14465
591,16430
592,14692
593,17123
594,15889
595,14812
596,16534
597,19185
598,15309
599,14287
600,15431
601,14775
602,17541
603,16991
604,15433
605,14597
606,14663
607,13743
608,15822
609,14802
610,15980
611,16839
612,17690
613,17039
614,16568
615,19083
616,19837
617,21086
618,17854
619,16175
620,16314
621,19739
622,16660
623,16733
624,14864
625,15215
626,15749
627,17012
628,13848
629,20415
630,17377
631,16517
632,14142
633,15567
634,17833
635,16583
636,13732
637,18396
638,16211
639,15931
640,16374
641,16812
642,13559
643,18436
644,18113
645,18276
646,16671
647,17796
648,18935
649,15834
650,18692
651,17962
652,17230
653,16043
654,14927
655,18393
656,14010
657,18475
658,16860
659,17963
660,19314
661,21460
662,21978
663,19321
664,19663
665,20808
666,19271
667,18602
668,16238
669,20410
670,19932
671,18295
672,20908
673,15975
674,17497
675,18277
676,17541
677,16621
678,19046
679,21344
680,18589
681,15465
682,17787
683,18819
684,20130
685,21744
686,14963
687,16708
688,13925
689,20770
690,17285
691,19776
692,17803
693,18649
694,22022
695,17199
696,20888
697,20041
698,19872
699,21421
700,18231
701,20868
702,19513
703,16669
704,18998
705,19552
706,16445
707,19988
708,23070
709,22191
710,17098
711,18794
712,19772
713,20176
714,19867
715,21283
716,22343
717,16753
718,17409
719,18547
720,19759
721,19296
722,19897
723,16152
724,16758
725,14449
726,20655
727,19733
728,19897
729,20711
730,15792
731,21218
732,19649
733,20708
734,17504
735,17875
736,17203
737,18603
738,21715
739,19297
740,16515
741,21468
742,17232
743,23131
744,16144
745,24585
746,19439
747,17370
748,22180
749,20885
750,20360
751,19018
752,20459
753,20423
754,20333
755,15848
756,17542
757,20588
758,16161
759,18380
760,21698
761,18868
762,21809
763,20269
764,17645
765,17325
766,18811
767,24634
768,20735
769,23637
770,19956
771,18829
772,22496
773,20749
774,21532
775,21577
776,19572
777,22333
778,22475
779,21587
780,21815
781,20767
782,22255
783,23801
784,21034
785,21904
786,19991
787,24597
788,24977
789,23427
790,20395
791,23366
792,22629
793,20369
794,20884
795,21912
796,22798
797,23403
798,20437
799,26176
800,20828
801,22647
802,23571
803,19109
804,16628
805,23484
806,16978
807,24514
808,23210
809,23304
810,17991
811,20129
812,21781
813,24486
814,18061
815,21349
816,22599
817,21842
818,20996
819,24554
820,23179
821,19141
822,19193
823,21474
824,20044
825,21724
826,20729
827,20471
828,23224
829,22012
830,24207
831,18625
832,26042
833,26276
834,25784
835,23359
836,24216
837,19889
838,23593
839,20283
840,19939
841,25416
842,22583
843,22842
844,20429
845,24971
846,22900
847,22463
848,22489
849,22777
850,27236
851,17713
852,21468
853,19198
854,22692
855,22536
856,20459
857,24953
858,25511
859,22343
860,20293
861,23294
862,25912
863,25071
864,20418
865,26135
866,28241
867,24273
868,24518
869,25882
870,27847
871,26239
872,22055
873,24602
874,25296
875,24542
876,23726
877,25690
878,22845
879,19571
880,25570
881,26825
882,24176
883,25948
884,21695
885,21839
886,23893
887,25527
888,21980
889,22759
890,23625
891,29457
892,24815
893,23391
894,20475
895,26427
896,23052
897,22104
898,23455
899,23506
900,25285
901,20453
902,22009
903,23616
904,21512
905,24636
906,21804
907,21828
908,21161
909,22200
910,22687
911,27262
912,26517
913,22005
914,25172
915,28577
916,21614
917,24085
918,22916
919,22168
920,23866
921,21385
922,25709
923,27186
924,21207
925,23555
926,24112
927,25278
928,20768
929,27172
930,26019
931,20573
932,26596
933,24986
934,22440
935,28311
936,22271
937,27154
938,24086
939,24208
940,24160
941,30910
942,24799
943,26415
944,24760
945,26399
946,23506
947,23838
948,26336
949,21360
950,27019
951,21711
952,25713
953,19807
954,22229
955,26147
956,22185
957,31253
958,28148
959,23506
