"n","tiempo (ns)"
1,493
2,474
3,499
4,499
5,512
6,551
7,622
8,597
9,596
10,632
11,753
12,665
13,691
14,743
15,778
16,774
17,783
18,823
19,883
20,784
21,856
22,941
23,888
24,931
25,909
26,964
27,988
28,965
29,946
30,1029
31,1292
32,1206
33,1160
34,1103
35,1229
36,1269
37,1336
38,1269
39,1319
40,1332
41,1350
42,1315
43,1336
44,1405
45,1370
46,1493
47,1439
48,1527
49,1503
50,1520
51,1494
52,1541
53,1560
54,1551
55,1555
56,1656
57,1649
58,1646
59,1666
60,1697
61,1668
62,1745
63,1719
64,1796
65,1782
66,1787
67,1797
68,1809
69,1776
70,1786
71,1806
72,1801
73,1820
74,1815
75,1890
76,1881
77,1926
78,1946
79,1986
80,2015
81,1963
82,1986
83,2015
84,2022
85,1999
86,2083
87,2059
88,2078
89,2057
90,2104
91,2069
92,2135
93,2122
94,2189
95,2170
96,2148
97,2137
98,2153
99,2179
100,2237
101,2201
102,2221
103,2435
104,2394
105,2440
106,2478
107,2468
108,2494
109,2525
110,2478
111,2480
112,2527
113,2559
114,2536
115,2561
116,2598
117,2585
118,2665
119,2681
120,2717
121,2772
122,2763
123,2754
124,2805
125,2818
126,2767
127,2799
128,2857
129,2889
130,2856
131,2868
132,2866
133,2864
134,2874
135,2915
136,2976
137,3013
138,3003
139,3006
140,3044
141,3031
142,3047
143,3094
144,3093
145,3115
146,3142
147,3151
148,3121
149,3149
150,3181
151,3159
152,3211
153,3230
154,3263
155,3279
156,3315
157,3335
158,3330
159,3351
160,3367
161,3397
162,3413
163,3425
164,3474
165,3456
166,3451
167,3457
168,3529
169,3490
170,3494
171,3522
172,3547
173,3601
174,3593
175,3618
176,3624
177,3627
178,3647
179,3704
180,3705
181,3722
182,3722
183,3750
184,3724
185,3771
186,3810
187,3798
188,3805
189,3772
190,3849
191,3872
192,3889
193,3908
194,3892
195,3959
196,3961
197,3968
198,3950
199,4027
200,4046
201,4046
202,4053
203,4073
204,4090
205,4101
206,4089
207,4121
208,4110
209,4148
210,4169
211,4193
212,4232
213,4232
214,4242
215,4278
216,4305
217,4324
218,4321
219,4329
220,4340
221,4344
222,4353
223,4397
224,4407
225,4408
226,4428
227,4449
228,4465
229,4459
230,4480
231,4533
232,4548
233,4590
234,4583
235,4603
236,4619
237,4650
238,4654
239,4688
240,4678
241,4711
242,4741
243,4727
244,4737
245,4732
246,4760
247,4782
248,4820
249,4843
250,4811
251,5016
252,4917
253,4904
254,4958
255,4953
256,4958
257,5026
258,5068
259,5017
260,5030
261,5031
262,5042
263,5061
264,5068
265,5060
266,5121
267,5158
268,5159
269,5128
270,5181
271,5202
272,5207
273,5208
274,5241
275,5244
276,5240
277,5289
278,5367
279,5334
280,5324
281,5364
282,5362
283,5400
284,5413
285,5426
286,5435
287,5461
288,5468
289,5469
290,5503
291,5493
292,5521
293,5510
294,5568
295,5572
296,5580
297,5610
298,5604
299,5641
300,5657
301,5673
302,5678
303,5724
304,5683
305,5766
306,5760
307,5768
308,5784
309,5819
310,5790
311,5846
312,5870
313,5886
314,5869
315,5897
316,5915
317,5913
318,5927
319,5963
320,5963
321,5977
322,6002
323,6031
324,6019
325,6078
326,6106
327,6100
328,6108
329,6119
330,6145
331,6150
332,6183
333,6164
334,6218
335,6252
336,6219
337,6234
338,6274
339,6270
340,6265
341,6316
342,6342
343,6303
344,6366
345,6354
346,6343
347,6422
348,6423
349,6416
350,6458
351,6445
352,6472
353,6493
354,6524
355,6536
356,6559
357,6561
358,6556
359,6601
360,6619
361,6649
362,6623
363,6670
364,6721
365,6698
366,6729
367,6695
368,6719
369,6725
370,6740
371,6779
372,6785
373,6813
374,6845
375,6837
376,6877
377,6864
378,6903
379,6928
380,6985
381,6978
382,6977
383,6973
384,7005
385,6982
386,7042
387,7057
388,7099
389,7066
390,7090
391,7101
392,7126
393,7122
394,7144
395,7173
396,7214
397,7201
398,7207
399,7230
400,7256
401,7257
402,7268
403,7245
404,7316
405,7302
