"n","tiempo (ns)"
1,504
2,455
3,449
4,462
5,507
6,515
7,657
8,562
9,586
10,614
11,666
12,669
13,694
14,720
15,750
16,760
17,789
18,824
19,926
20,885
21,899
22,917
23,952
24,956
25,978
26,986
27,1073
28,1080
29,1076
30,1117
31,1403
32,1282
33,1253
34,1191
35,1394
36,1383
37,1382
38,1370
39,1439
40,1439
41,1422
42,1453
43,1520
44,1522
45,1597
46,1572
47,1591
48,1647
49,1643
50,1680
51,1722
52,1775
53,1739
54,1779
55,1802
56,1809
57,1806
58,1860
59,1874
60,1923
61,1905
62,1959
63,1974
64,2032
65,2028
66,1995
67,2019
68,1996
69,2006
70,2070
71,2078
72,2112
73,2123
74,2129
75,2160
76,2184
77,2215
78,2210
79,2260
80,2287
81,2303
82,2318
83,2362
84,2375
85,2368
86,2428
87,2480
88,2461
89,2505
90,2499
91,2567
92,2544
93,2597
94,2629
95,2649
96,2674
97,2678
98,2678
99,2699
100,2709
101,2718
102,2763
103,2940
104,2940
105,2966
106,3006
107,2980
108,3033
109,3032
110,3065
111,3085
112,3111
113,3122
114,3139
115,3167
116,3202
117,3202
118,3216
119,3247
120,3281
121,3290
122,3318
123,3355
124,3351
125,3374
126,3408
127,3442
128,3461
129,3511
130,3430
131,3484
132,3477
133,3478
134,3492
135,3502
136,3549
137,3543
138,3578
139,3609
140,3615
141,3652
142,3685
143,3687
144,3705
145,3763
146,3778
147,3793
148,3814
149,3907
150,3839
151,3885
152,3920
153,3927
154,3937
155,3971
156,3979
157,4024
158,4021
159,4055
160,4067
161,4102
162,4131
163,4125
164,4167
165,4181
166,4221
167,4222
168,4231
169,4276
170,4281
171,4335
172,4340
173,4362
174,4393
175,4404
176,4426
177,4490
178,4478
179,4486
180,4518
181,4525
182,4569
183,4598
184,4611
185,4665
186,4648
187,4696
188,4684
189,4731
190,4713
191,4786
192,4793
193,4798
194,4835
195,4859
196,4906
197,4898
198,4930
199,4928
200,4992
201,4982
202,5022
203,5047
204,5041
205,5075
206,5105
207,5130
208,5154
209,5162
210,5204
211,5234
212,5240
213,5263
214,5299
215,5278
216,5324
217,5330
218,5341
219,5387
220,5420
221,5417
222,5473
223,5493
224,5497
225,5522
226,5565
227,5578
228,5601
229,5602
230,5630
231,5673
232,5687
233,5699
234,5724
235,5760
236,5736
237,5808
238,5820
239,5812
240,5848
241,5882
242,5905
243,5931
244,5960
245,5973
246,6018
247,6013
248,6037
249,6048
250,6076
251,6329
252,6148
253,6162
254,6172
255,6213
256,6233
257,6296
258,6299
259,6315
260,6306
261,6320
262,6337
263,6368
264,6386
265,6415
266,6429
267,6478
268,6496
269,6500
270,6539
271,6592
272,6587
273,6599
274,6614
275,6652
276,6638
277,6664
278,6716
279,6730
280,6729
281,6743
282,6800
283,6833
284,6837
285,6844
286,6867
287,6882
288,6909
289,6941
290,6993
291,6981
292,7004
293,7049
294,7030
295,7068
296,7098
297,7097
298,7140
299,7198
300,7178
301,7230
302,7213
303,7244
304,7273
305,7312
306,7321
307,7355
308,7360
309,7386
310,7411
311,7458
312,7478
313,7471
314,7505
315,7548
316,7537
317,7564
318,7608
319,7619
320,7641
321,7657
322,7694
323,7698
324,7742
325,7728
326,7760
327,7777
328,7819
329,7843
330,7878
331,7897
332,7893
333,7921
334,7939
335,7959
336,7991
337,8006
338,8042
339,8056
340,8081
341,8090
342,8113
343,8142
344,8146
345,8175
346,8230
347,8241
348,8296
349,8284
350,8309
351,8331
352,8350
353,8339
354,8406
355,8396
356,8421
357,8428
358,8442
359,8530
360,8499
361,8574
362,8567
363,8598
364,8627
365,8650
366,8641
367,8687
368,8720
369,8745
370,8737
371,8779
372,8762
373,8810
374,8844
375,8840
376,8875
377,8883
378,8929
379,8941
380,8987
381,8994
382,9003
383,9028
384,9050
385,9072
386,9111
387,9102
388,9181
389,9172
390,9183
391,9208
392,9211
393,9238
394,9257
395,9303
396,9317
397,9313
398,9366
399,9391
400,9413
401,9445
402,9436
403,9457
404,9514
405,9526
406,9532
407,9568
408,9593
409,9592
410,9638
411,9671
412,9723
413,9700
414,9725
415,9718
416,9739
417,9804
418,9798
419,9840
420,9864
421,9893
422,9885
423,9936
424,9926
425,9968
426,9988
427,10027
428,10015
429,10068
430,10046
431,10093
432,10113
433,10133
434,10156
435,10172
436,10223
437,10235
438,10242
439,10282
440,10294
441,10322
442,10353
443,10367
444,10392
445,10392
446,10412
447,10432
448,10465
449,10505
450,10535
451,10512
452,10604
453,10590
454,10593
455,10620
456,10635
457,10678
458,10681
459,10700
460,10737
461,10779
462,10774
463,10788
464,10832
465,10859
466,10879
467,10902
468,10901
469,10933
470,10940
471,10969
472,11007
473,11041
474,11065
475,11065
476,11081
477,11114
478,11137
479,11150
480,11217
481,11203
482,11220
483,11235
484,11281
485,11263
486,11283
487,11325
488,11354
489,11362
490,11382
491,11416
492,11433
493,11466
494,11485
495,11494
496,11516
497,11571
498,11584
499,11578
500,11620
501,11645
502,11669
503,11687
504,11682
505,11752
506,11760
507,11804
508,11808
509,11788
510,11858
511,11883
512,11878
513,11992
514,11944
515,11975
516,12014
517,11986
518,11995
519,12020
520,12047
521,12085
522,12110
523,12181
524,12155
525,12190
526,12208
527,12219
528,12248
529,12283
530,12294
531,12312
532,12324
533,12335
534,12354
535,12406
536,12437
537,12451
538,12472
539,12484
540,12536
541,12501
542,12539
543,12549
544,12554
545,12597
546,12632
547,12661
548,12694
549,12731
550,12711
551,12756
552,12730
553,12819
554,12811
555,12851
556,12864
557,12892
558,12901
559,12941
560,12949
561,12979
562,13014
563,13043
564,13033
565,13084
566,13089
567,13102
568,13156
569,13168
570,13168
571,13201
572,13212
573,13228
574,13247
575,13264
576,13292
577,13295
578,13382
579,13344
580,13413
581,13403
582,13435
583,13444
584,13473
585,13493
586,13544
587,13532
588,13596
589,13576
590,13639
591,13640
592,13657
593,13657
594,13694
595,13698
596,13730
597,13803
598,13797
599,13827
600,13821
601,13866
602,13885
603,13913
604,13927
605,13983
606,13936
607,13982
608,13996
609,14017
610,14041
611,14057
612,14123
613,14121
614,14169
615,14165
616,14192
617,14238
618,14232
619,14269
620,14287
621,14304
622,14355
623,14342
624,14378
625,14409
626,14375
627,14458
628,14495
629,14465
630,14510
631,14562
632,14560
633,14581
634,14602
635,14625
636,14617
637,14645
638,14689
639,14712
640,14733
641,14732
642,14763
643,14771
644,14841
645,14832
646,14865
647,14883
648,14900
649,14908
650,14944
651,14951
652,14975
653,15060
654,15052
655,15065
656,15096
657,15130
658,15147
659,15161
660,15166
661,15184
662,15225
663,15202
664,15264
665,15285
666,15300
667,15343
668,15382
669,15405
670,15409
671,15408
672,15398
673,15449
674,15489
675,15463
676,15559
677,15514
678,15535
679,15548
680,15643
681,15603
682,15658
683,15678
684,15727
685,15739
686,15749
687,15768
688,15783
689,15801
690,15839
691,15847
692,15909
693,15901
694,15977
695,15956
696,15980
697,16021
698,16036
699,16064
700,16094
701,16064
702,16120
703,16159
704,16145
705,16154
706,16184
707,16207
708,16249
709,16234
710,16287
711,16318
712,16305
713,16349
714,16357
715,16405
716,16420
717,16441
718,16448
719,16495
720,16509
721,16532
722,16542
723,16556
724,16593
725,16631
726,16626
727,16656
728,16706
729,16725
730,16722
731,16755
732,16748
733,16774
734,16806
735,16817
736,16848
737,16866
738,16911
739,16901
740,16957
741,16956
742,16980
743,16982
744,17021
745,17063
746,17046
747,17126
748,17129
749,17129
750,17169
751,17200
752,17197
753,17210
754,17248
755,17275
756,17318
757,17299
758,17360
759,17377
760,17377
761,17415
762,17427
763,17478
764,17471
765,17490
766,17530
767,17551
768,17562
769,17572
770,17561
771,17602
772,17674
773,17659
774,17689
775,17708
776,17747
777,17765
778,17794
779,17858
780,17862
781,17836
782,17890
783,17898
784,17934
785,17968
786,17970
787,18000
788,17994
789,18022
790,18053
791,18070
792,18105
793,18112
794,18130
795,18172
796,18205
797,18195
798,18217
799,18253
800,18257
801,18284
802,18337
803,18338
804,18387
805,18379
806,18407
807,18419
808,18443
809,18455
810,18514
811,18488
812,18535
813,18547
814,18572
815,18606
816,18650
817,18632
818,18669
819,18671
820,18731
821,18724
822,18756
823,18810
824,18783
825,18827
826,18830
827,18881
828,18884
829,18948
830,18926
831,18951
832,18966
833,18984
834,19037
835,19041
836,19117
837,19080
838,19140
839,19118
840,19136
841,19166
842,19206
843,19211
844,19240
845,19283
846,19256
847,19274
848,19318
849,19354
850,19356
851,19410
852,19435
853,19472
854,19463
855,19511
856,19545
857,19545
858,19566
859,19591
860,19639
861,19642
862,19634
863,19643
864,19708
865,19725
866,19761
867,19743
868,19766
869,19798
870,19800
871,19838
872,19859
873,19907
874,19909
875,19967
876,19987
877,19984
878,20009
879,20033
880,20055
881,20106
882,20118
883,20103
884,20127
885,20167
886,20201
887,20209
888,20249
889,20274
890,20270
891,20301
892,20329
893,20325
894,20340
895,20346
896,20380
897,20387
898,20428
899,20446
900,20520
901,20494
902,20530
903,20543
904,20594
905,20569
906,20618
907,20627
908,20672
909,20664
910,20741
911,20721
912,20784
913,20781
914,20782
915,20838
916,20810
917,20855
918,20870
919,20914
920,20938
921,20978
922,20996
923,21016
924,21029
925,21032
926,21053
927,21100
928,21059
929,21111
930,21117
931,21155
932,21180
933,21227
934,21243
935,21282
936,21280
937,21315
938,21341
939,21363
940,21387
941,21423
942,21435
943,21445
944,21433
945,21483
946,21510
947,21528
948,21574
949,21577
950,21599
951,21596
952,21641
953,21676
954,21719
955,21725
956,21737
957,21755
958,21764
959,21800
960,21785
961,21825
962,21846
963,21892
964,21907
965,21978
966,21946
967,21961
968,22006
969,22016
970,22032
971,22109
972,22087
973,22129
974,22161
975,22163
976,22199
977,22179
978,22179
979,22208
980,22270
981,22282
982,22301
983,22338
984,22380
985,22378
