"n","tiempo (ns)"
1,323
2,382
3,396
4,469
5,460
6,524
7,579
8,627
9,625
10,663
11,739
12,777
13,791
14,850
15,893
16,947
17,1511
18,1547
19,1594
20,1688
21,1739
22,1811
23,1856
24,1894
25,1906
26,1969
27,2011
28,2043
29,2128
30,2236
31,2136
32,2203
33,2239
34,2330
35,2707
36,3276
37,3296
38,3344
39,3462
40,3552
41,3645
42,3661
43,3829
44,3803
45,3903
46,3935
47,3871
48,4106
49,4013
50,4124
51,4144
52,4473
53,4437
54,4336
55,4507
56,4505
57,4600
58,4634
59,4743
60,4839
61,4871
62,4962
63,4938
64,5163
65,4959
66,5054
67,5171
68,5030
69,5274
70,5329
71,5950
72,6214
73,6674
74,7310
75,7350
76,7408
77,7478
78,7533
79,7653
80,7626
81,7729
82,7760
83,7880
84,7934
85,8067
86,8110
87,8234
88,8327
89,8218
90,8416
91,8518
92,8570
93,8500
94,8693
95,8718
96,8728
97,8777
98,9000
99,9177
100,9208
101,9156
102,9864
103,9842
104,9466
105,9516
106,9566
107,9803
108,9683
109,9938
110,10012
111,9846
112,9807
113,10208
114,10231
115,10368
116,10623
117,10594
118,10445
119,10818
120,10892
121,10918
122,10896
123,10954
124,11207
125,11129
126,11177
127,11571
128,11552
129,11210
130,11480
131,11799
132,11689
133,11361
134,11564
135,11801
136,11662
137,12130
138,11846
139,12074
140,12124
141,12184
142,12085
143,12892
144,13233
145,13331
146,14015
147,14491
148,15027
149,15569
150,15842
151,16150
152,16192
153,16288
154,16395
155,16747
156,16474
157,16440
158,16679
159,16454
160,16606
161,16933
162,16561
163,16866
164,17372
165,17103
166,17125
167,17663
168,17675
169,17351
170,17697
171,18020
172,17938
173,18163
174,17998
175,18611
176,23863
177,19528
178,19615
179,20013
180,19454
181,18698
182,18610
183,20116
184,19937
185,20171
186,20347
187,20604
188,20689
189,20788
190,20774
191,20692
192,20921
193,21023
194,19596
195,19761
196,19897
197,20091
198,20122
199,21982
200,22086
201,20574
202,20280
203,20559
204,21011
205,20765
206,20811
207,20995
208,20968
209,21037
210,21196
211,21492
212,21626
213,21677
214,21359
215,21167
216,21997
217,21597
218,22076
219,21632
220,22063
221,21539
222,21536
223,22148
224,22682
225,22327
226,22669
227,22748
228,22707
229,22836
230,22639
231,23126
232,23226
233,23548
234,23184
235,23225
236,23419
237,23504
238,23234
239,23248
240,23501
241,23561
242,23820
243,23650
244,23937
245,24201
246,23845
247,24063
248,24145
249,24518
250,24808
251,24611
252,24320
253,24713
254,24580
255,24739
256,24736
257,25240
258,25385
259,25737
260,25361
261,25499
262,25297
263,25772
264,25526
265,25613
266,25521
267,25835
268,26056
269,25940
270,25745
271,25674
272,25720
273,25244
274,26034
275,26223
276,26155
277,25925
278,26037
279,26315
280,26640
281,26480
282,26558
283,26464
284,26953
285,26686
286,27046
287,27289
288,28265
289,28103
290,29267
291,29468
292,30057
293,30725
294,30814
295,31500
296,32078
297,32567
298,33526
299,33393
300,32934
301,33649
302,34566
303,34898
304,34846
305,34853
306,35222
307,34506
308,34428
309,35294
310,35482
311,35888
312,35398
313,35730
314,35744
315,35805
316,35752
317,35600
318,35791
319,35800
320,36776
321,36209
322,35990
323,36188
324,36500
325,36799
326,37218
327,37266
328,37258
329,37089
330,37029
331,37411
332,37411
333,37562
334,37358
335,37901
336,38095
337,38066
338,38255
339,38265
340,38923
341,38922
342,38130
343,38817
344,38544
345,38410
346,38748
347,39018
348,39309
349,38970
350,39669
351,40847
352,39690
353,39147
354,39685
355,39803
356,41478
357,39984
358,39473
359,40304
360,40433
361,40198
362,40296
363,40600
364,40408
365,40330
366,40389
367,40474
368,41355
369,40963
370,41277
371,41192
372,41745
373,41677
374,41561
375,40533
376,41926
377,40804
378,41194
379,42094
380,40699
381,41762
382,41356
383,42040
384,41468
385,42994
386,42220
387,42440
388,42644
389,42837
390,42740
391,43024
392,43085
393,43362
394,43402
395,43269
396,43258
397,43229
398,43218
399,44172
400,44196
401,43988
402,44538
403,43647
404,44300
405,44508
406,44209
407,44391
408,44315
409,44511
410,44427
411,45219
412,45364
413,44698
414,45083
415,45539
416,46504
417,45661
418,45790
419,45825
420,46231
421,46258
422,46295
423,46395
424,46642
425,45592
426,45546
427,45502
428,46033
429,46585
430,45587
431,46047
432,45975
433,47495
434,46592
435,46736
436,47132
437,48139
438,47420
439,46757
440,46385
441,46453
442,47925
443,48114
444,47827
445,47852
446,47485
447,48544
448,48553
449,48137
450,48518
451,49135
452,48831
453,49267
454,48801
455,49616
456,48973
457,49112
458,49258
459,49229
460,48878
461,49273
462,49862
463,49482
464,49067
465,50075
466,50572
467,50776
468,49587
469,50693
470,50207
471,49694
472,51284
473,51391
474,51355
475,50764
476,50174
477,50518
478,50237
479,50784
480,51145
481,51783
482,51419
483,51753
484,51895
485,51721
486,52467
487,52230
488,52163
489,51739
490,52559
491,52898
492,52625
493,52827
494,52270
495,53639
496,53380
497,52256
498,53480
499,53068
500,53149
501,53845
502,54017
503,53352
504,53664
505,53901
506,53650
507,54821
508,53582
509,53583
510,54042
511,54699
512,54278
513,54302
514,54954
515,54347
516,55439
517,55530
518,55739
519,54100
520,55160
521,54952
522,55249
523,55654
524,55165
525,55417
526,55939
527,55295
528,56329
529,55972
530,56283
531,55892
532,56237
533,55519
534,56420
535,56260
536,56476
537,55739
538,55464
539,56359
540,55359
541,56922
542,56471
543,55360
544,56158
545,56738
546,56273
547,56857
548,56261
549,56388
550,56284
551,55471
552,56554
553,58222
554,56677
555,57498
556,56529
557,56796
558,56965
559,56928
560,57865
561,57663
562,56742
563,58844
564,57475
565,58346
566,58579
567,58598
568,57000
569,58972
570,58111
571,60175
572,59587
573,59807
574,59000
575,58664
576,59522
577,61173
578,61381
579,60386
580,63110
581,62867
582,62313
583,62124
584,62925
585,66204
586,63705
587,65746
588,66315
589,66216
590,65477
591,67516
592,67429
593,68400
594,68854
595,68840
596,70176
597,69532
598,71981
599,71682
600,71418
601,71874
602,72916
603,73473
604,73845
605,75575
606,74748
607,75067
608,74626
609,73699
610,76018
611,73890
612,76426
613,75825
614,74170
615,77675
616,75991
617,76917
618,75656
619,76757
620,77343
621,76888
622,76153
623,76912
624,76417
625,77467
626,77843
627,78447
628,78185
629,76691
630,77703
631,76926
632,77312
633,79186
634,77611
635,79079
636,76865
637,79547
638,76990
639,78783
640,77680
641,78517
642,78930
643,78610
644,79041
645,79703
646,79818
647,78117
648,77622
649,79967
650,80569
651,79394
652,79956
653,79608
654,80056
655,79467
656,80183
657,82092
658,80476
659,81093
660,81136
661,80625
662,80009
663,81182
664,81110
665,80932
666,81651
667,81514
668,81826
669,80505
670,83235
671,81203
672,81357
673,83409
674,82222
675,84059
676,83005
677,83137
678,82063
679,82816
680,83559
681,84058
682,82047
683,83725
684,83799
685,83848
686,83355
687,83734
688,85402
689,83906
690,83146
691,85489
692,83971
693,85251
694,83386
695,85642
696,85665
697,84781
698,85846
699,83649
700,85255
701,86055
702,86538
703,84082
704,84813
705,85291
706,86255
707,86389
708,86931
709,84585
710,85670
711,86153
712,86276
713,87136
714,86143
715,86680
716,86505
717,87020
718,86809
719,86150
720,87338
721,87174
722,86601
723,85765
724,86028
725,87365
726,88037
727,94627
728,88691
729,86325
730,88074
731,88142
732,88380
733,88600
734,87148
735,87767
736,88535
737,88725
738,95403
739,86356
740,89598
741,88526
742,89184
743,90667
744,91064
745,88768
746,90454
747,89736
748,91174
749,90169
750,89211
751,91108
752,90465
753,91205
754,91268
755,90940
756,90776
757,92173
758,91637
759,92012
760,91540
761,92453
762,90613
763,91588
764,90745
765,92801
766,91246
767,91799
768,91306
769,92625
770,91705
771,92827
772,92820
773,92761
774,93364
775,93350
776,92244
777,91928
778,94014
779,91817
780,93875
781,93142
782,92505
783,93430
784,94232
785,94183
786,93194
787,94034
788,94518
789,93856
790,93540
791,93904
792,93711
793,95093
794,94989
795,96518
796,95732
797,95436
798,96123
799,95415
800,95313
801,95662
802,96632
803,95291
804,96056
805,96344
806,96602
807,97063
808,95872
809,97070
810,95931
811,96117
812,96241
813,97193
814,98591
815,98329
816,97493
817,97477
818,98515
819,98915
820,98378
821,98833
822,98982
823,98455
824,99452
825,98590
826,98250
827,97831
828,99127
829,99185
830,98475
831,99045
832,99921
833,99609
834,99119
835,100592
836,100450
837,99945
838,99125
839,98691
840,100664
841,99753
842,100944
843,101066
844,100723
845,101233
846,101391
847,101046
848,100407
849,100144
850,100438
851,100870
852,101480
853,100358
854,99810
855,101100
856,101053
857,101938
858,101175
859,100631
860,101303
861,102876
862,102686
863,100814
864,103425
865,101990
866,101713
867,103531
868,102532
869,102672
870,103646
871,102525
872,104489
873,103313
874,103583
875,103895
876,103249
877,103949
878,104639
879,103508
880,102640
881,104126
882,104029
883,105638
884,104786
885,105083
886,106855
887,105975
888,104681
889,105697
890,106441
891,107201
892,105630
893,108031
894,107257
895,106764
896,107707
897,106516
898,106159
899,106238
900,108422
901,106866
902,106960
903,106962
904,106292
905,106604
906,107653
907,108830
908,107970
909,107204
910,108203
911,106523
912,107351
913,108223
914,108614
915,107893
916,108143
917,108051
918,109307
919,107583
920,109935
921,108323
922,109490
923,108156
924,110383
925,108718
926,110506
927,109387
928,109097
929,108563
930,108930
931,110126
932,109545
933,111314
934,109859
935,111148
936,111246
937,111129
938,111226
939,111045
940,110167
941,110886
942,111166
943,111619
944,112001
945,112526
946,111439
947,112240
948,110593
949,112524
950,112082
951,111373
952,111596
953,113116
954,112234
955,111498
956,112411
957,110889
958,112233
959,112665
960,112791
961,111849
962,112355
963,113700
964,114129
965,112305
966,114142
967,112757
968,112555
969,112650
970,114277
971,111451
972,114575
973,113674
974,113356
975,113598
976,112522
977,113858
978,113739
979,112866
980,116229
981,115673
982,114964
983,113797
984,114900
985,114027
986,114913
987,114448
988,115245
989,115999
990,115202
991,117016
992,115548
993,115929
994,115880
995,115814
996,115830
997,115262
998,116913
999,119262
1000,117904
