"n","tiempo (ns)"
1,951
2,752
3,816
4,865
5,911
6,963
7,1015
8,1048
9,1173
10,1197
11,1798
12,1461
13,1490
14,1495
15,1595
16,1632
17,1837
18,1807
19,1866
20,1967
21,2011
22,2071
23,2084
24,2189
25,2201
26,2302
27,2347
28,2317
29,2397
30,2464
31,2501
32,2580
33,2795
34,2707
35,2776
36,2840
37,2873
38,2907
39,2962
40,3096
41,3122
42,3159
43,3242
44,3280
45,3372
46,3403
47,3442
48,3519
49,3581
50,3523
51,3733
52,3725
53,3824
54,3877
55,3879
56,3886
57,3966
58,3963
59,4089
60,4172
61,4143
62,4254
63,4297
64,4376
65,4570
66,4496
67,4469
68,4547
69,4643
70,4677
71,4710
72,4800
73,4833
74,4906
75,4941
76,5052
77,5078
78,5145
79,5163
80,5192
81,5272
82,5361
83,5510
84,5547
85,5514
86,5620
87,5646
88,5708
89,5746
90,5754
91,5872
92,5906
93,5960
94,6019
95,6112
96,6158
97,6177
98,6285
99,6284
100,6470
101,6484
102,6543
103,6593
104,6887
105,6952
106,6925
107,6886
108,7056
109,7075
110,7163
111,7341
112,7299
113,7291
114,7440
115,7464
116,7505
117,7497
118,7738
119,7608
120,7692
121,7945
122,7796
123,7900
124,7908
125,8036
126,8123
127,8466
128,8173
129,8410
130,8469
131,8234
132,8355
133,8331
134,8715
135,8608
136,8587
137,8775
138,8887
139,8662
140,8872
141,9077
142,8888
143,9049
144,9063
145,9296
146,9070
147,9445
148,9201
149,9185
150,9683
151,9553
152,9556
153,9512
154,9591
155,9966
156,9683
157,9765
158,10109
159,9971
160,10259
161,10243
162,10086
163,10440
164,10159
165,10294
166,10507
167,10707
168,10755
169,10629
170,10445
171,10681
172,10572
173,11025
174,10864
175,10845
176,10863
177,11096
178,11297
179,11056
180,11017
181,11356
182,11128
183,11285
184,11656
185,11252
186,11464
187,11655
188,11652
189,11679
190,11757
191,12011
192,12026
193,12054
194,12024
195,11932
196,12405
197,12353
198,12114
199,12188
200,12132
201,12709
202,12447
203,12295
204,12397
205,12343
206,12821
207,12434
208,12562
209,12634
210,12668
211,12711
212,12746
213,12998
214,12951
215,13007
216,13126
217,13185
218,13162
219,13840
220,13243
221,13407
222,13646
223,13547
224,13708
225,13636
226,13638
227,13823
228,13734
229,13833
230,13834
231,13897
232,14092
233,14043
234,14022
235,14347
236,14170
237,14299
238,14303
239,14671
240,14416
241,14644
242,14533
243,14631
244,14786
245,14934
246,15293
247,14776
248,15148
249,15164
250,15166
251,15078
252,15281
253,15439
254,15508
255,15369
256,15477
257,15647
258,15756
259,15968
260,15778
261,16267
262,16116
263,16241
264,16353
265,16217
266,16258
267,16412
268,16227
269,16340
270,16215
271,16335
272,16662
273,16804
274,16819
275,16622
276,16985
277,17152
278,16724
279,17070
280,17249
281,17401
282,17203
283,17152
284,17328
285,17130
286,17579
287,17145
288,17199
289,17450
290,17365
291,17747
292,17762
293,17635
294,17811
295,17636
296,17945
297,18444
298,17955
299,18076
300,18296
301,17956
302,18379
303,18258
304,18288
305,18538
306,18412
307,18427
308,18807
309,18497
310,18716
311,18626
312,18831
313,19002
314,19245
315,19132
316,19042
317,18987
318,18935
319,19237
320,19029
321,19337
322,19599
323,19646
324,19692
325,19609
326,19407
327,19765
328,19522
329,20024
330,19882
331,19864
332,20158
333,20045
334,20006
335,19930
336,20097
337,20566
338,20040
339,20534
340,20346
341,20328
342,20605
343,20568
344,20703
345,20707
346,20502
347,20587
348,20815
349,20847
350,20772
351,21064
352,20813
353,21179
354,21106
355,21205
356,21142
357,21433
358,21288
359,21344
360,21522
361,21752
362,21765
363,21694
364,21680
365,21667
366,21633
367,21936
368,22090
369,22284
370,21949
371,21980
372,22261
373,22242
374,22269
375,22272
376,22585
377,22691
378,22357
379,22377
380,22630
381,23084
382,22678
383,22730
384,23033
385,22855
386,22820
387,22999
388,23139
389,22996
390,22839
391,23572
392,23450
393,23409
394,23640
395,23381
396,23561
397,23523
398,23575
399,23645
400,23663
401,23943
402,24076
403,24233
404,24084
405,24006
406,23909
407,24171
408,24322
409,24259
410,24174
411,24218
412,24204
413,24538
414,24495
415,24947
416,24719
417,24796
418,24531
419,24996
420,24912
421,24874
422,25002
423,25490
424,25457
425,25179
426,25266
427,25471
428,25191
429,25784
430,25315
431,25594
432,25576
433,26001
434,25791
435,26067
436,25788
437,26442
438,26081
439,26020
440,26105
441,26197
442,26351
443,26083
444,26498
445,26281
446,26803
447,26805
448,26733
449,26956
450,27001
451,26872
452,26935
453,27128
454,27315
455,27180
456,27454
457,27364
458,27452
459,27478
460,27412
461,27294
462,27638
463,27559
464,27773
465,27859
466,27731
467,28016
468,27773
469,27832
470,27833
471,27955
472,27944
473,28425
474,28208
475,28277
476,28472
477,28279
478,28746
479,28690
480,28722
481,28681
482,28957
483,29007
484,29098
485,28684
486,29157
487,29194
488,29131
489,29174
490,29559
491,29233
492,29333
493,29382
494,29407
495,29796
496,29789
497,29493
498,29754
499,29912
500,29893
501,29643
502,29733
503,29878
504,29723
505,29822
506,29906
507,30416
508,30123
509,30247
510,30747
511,30508
512,30503
513,30887
514,30064
515,31320
516,30782
517,30922
518,30602
519,31149
520,31059
521,30951
522,31206
523,31435
524,31513
525,31635
526,31129
527,31413
528,31157
529,31262
530,31606
531,31751
532,31356
533,32018
534,31908
535,31672
536,31758
537,31464
538,32058
539,32246
540,32087
541,31892
542,31880
543,32322
544,32123
545,32406
546,32449
547,32549
548,32556
549,32711
550,33066
551,33055
552,33058
553,32897
554,33234
555,33197
556,33044
557,33032
558,32905
559,33231
560,33037
561,33186
562,33749
563,33322
564,33483
565,33345
566,33936
567,33606
568,33824
569,33900
570,33756
571,33663
572,34091
573,34206
574,33791
575,34197
576,33904
577,34117
578,34078
579,34069
580,34454
581,34609
582,34164
583,34446
584,34221
585,34806
586,35431
587,34390
588,34728
589,35071
590,35628
591,35021
592,35284
593,35646
594,35087
595,35189
596,34896
597,35444
598,35345
599,35280
600,36001
601,35522
602,35490
603,35622
604,35718
605,35531
606,36224
607,36172
608,35815
609,35915
610,35733
611,35832
612,36094
613,36363
614,36090
615,36458
616,36453
617,36514
618,36670
619,36554
620,36498
621,36582
622,36621
623,36840
624,37033
625,36934
626,36646
627,36775
628,36874
629,37129
630,37308
631,37720
632,37310
633,37359
634,37795
635,37186
636,37616
637,37370
638,37390
639,37466
640,37999
641,37651
642,37937
643,38116
644,37788
645,37898
646,37788
647,38396
648,38576
649,38202
650,38477
651,38706
652,38256
653,38420
654,38207
655,38446
656,38678
657,38734
658,38703
659,39028
660,38807
661,38512
662,39222
663,39122
664,39102
665,39330
666,38901
667,39088
668,38994
669,39791
670,39182
671,39710
672,39577
673,39603
674,39512
675,39621
676,39667
677,39570
678,39978
679,39906
680,39989
681,40272
682,39946
683,40681
684,40293
685,40368
686,40183
687,40396
688,40355
689,40491
690,40583
691,40620
692,41073
693,40601
694,40771
695,41303
696,40664
697,41092
698,41068
699,41117
700,41153
701,41108
702,41560
703,41716
704,41287
705,41335
706,42017
707,41909
708,41462
709,41553
710,41885
711,41900
712,42311
713,41549
714,41931
715,42254
716,41991
717,41915
718,42008
719,42397
720,42029
721,42423
722,42495
723,42540
724,42585
725,42876
726,42731
727,42440
728,42773
729,43209
730,43524
731,43343
732,42854
733,43511
734,43190
735,43354
736,43153
737,43251
738,43581
739,42935
740,43447
741,43386
742,43475
743,43488
744,43486
745,43702
746,43584
747,43832
748,44180
749,44161
750,43721
751,44156
752,44481
753,44667
754,44399
755,44061
756,44062
757,44359
758,44519
759,44957
760,44656
761,44535
762,44516
763,44158
764,44368
765,44663
766,44667
767,45048
768,44684
769,44696
770,45239
771,45480
772,45330
773,45292
774,45888
775,45432
776,45895
777,45506
778,46074
779,45638
780,45966
781,45657
782,45841
783,45883
784,45792
785,45886
786,46152
787,47148
788,46232
789,46321
790,46457
791,46523
792,46272
793,46500
794,46631
795,47041
796,47488
797,47053
798,47158
799,46949
800,46961
801,47171
802,46927
803,46754
804,47615
805,47460
806,47156
807,47730
808,47266
809,47765
810,47782
811,48039
812,48013
813,48360
814,48193
815,47727
816,48605
817,47822
818,47959
819,47820
820,48422
821,48371
822,48862
823,48293
824,48718
825,49332
826,48518
827,49002
828,48716
829,48975
830,48778
831,48765
832,49090
833,49063
834,48736
835,48946
836,50071
837,49006
838,49253
839,49148
840,49384
841,49141
842,49324
843,49458
844,49531
845,49658
846,49999
847,49973
848,50062
849,50273
850,50008
851,49933
852,49817
853,50797
854,50160
855,50136
856,50496
857,50340
858,50895
859,50731
860,50649
861,50518
862,50590
863,51030
864,51019
865,51213
866,50852
867,51201
868,50679
869,50936
870,51333
871,50983
872,51915
873,51583
874,50843
875,51547
876,51386
877,51928
878,51421
879,51885
880,51489
881,51903
882,52115
883,51877
884,52117
885,51765
886,51583
887,52077
888,51889
889,52200
890,52309
891,52628
892,52533
893,52502
894,52317
895,52986
896,52951
897,52505
898,52604
899,52732
900,53214
901,52819
902,53329
903,52732
904,53306
905,52549
906,53747
907,53719
908,53038
909,53399
910,53546
911,53452
912,53282
913,53782
914,53678
915,54003
916,53581
917,54663
918,54384
919,53823
920,54105
921,53547
922,54336
923,54008
924,54039
925,54488
926,54466
927,54175
928,54758
929,54276
930,54224
931,54614
932,54400
933,54763
934,54932
935,54792
936,55119
937,55187
938,55291
939,54698
940,55187
941,55060
942,55208
943,55643
944,55131
945,55409
946,55858
947,55709
948,55727
949,55061
950,55860
951,55508
952,55968
953,56022
954,56589
955,56261
956,55743
957,56270
958,56361
959,55981
960,56508
961,56476
962,56664
963,56036
964,56609
965,56737
966,56811
967,56204
968,56530
969,57294
970,56678
971,57161
972,56977
973,57418
974,56949
975,57799
976,57445
977,57216
978,57663
979,57118
980,57757
981,57143
982,57787
983,57393
984,57621
985,57735
986,57875
987,57413
988,57957
989,57786
990,58019
991,57879
992,58326
993,58239
994,58417
995,58434
996,57919
997,58684
998,58264
999,58072
1000,58382
1001,58404
1002,58752
1003,58904
1004,58665
1005,59153
1006,59080
1007,59169
1008,59493
1009,59148
1010,59144
1011,59169
1012,59523
1013,59045
1014,59249
1015,59448
1016,59313
1017,59540
1018,59529
1019,59375
1020,59580
1021,59972
1022,59865
1023,59792
1024,60493
1025,60127
1026,60462
1027,60625
1028,60648
1029,60281
1030,60974
1031,60685
1032,60923
1033,60490
1034,60349
1035,60435
1036,61102
1037,61072
1038,60730
1039,60862
1040,60884
1041,61234
1042,61345
1043,61446
1044,61481
1045,61460
1046,61465
1047,61607
1048,61123
1049,61619
1050,61502
1051,62062
1052,61929
1053,62058
1054,61934
1055,61847
1056,61641
1057,62160
1058,62905
1059,61829
1060,61856
1061,61987
1062,62025
1063,62206
1064,62330
1065,62460
1066,62193
1067,62160
1068,62746
1069,62663
1070,62658
1071,62624
1072,62377
1073,63044
1074,62807
1075,63080
1076,63320
1077,63419
1078,63214
1079,63030
1080,63144
1081,64260
1082,63110
1083,63385
1084,63311
1085,63174
1086,63510
1087,63967
1088,63640
1089,63789
1090,64006
1091,63678
1092,64052
1093,64228
1094,64044
1095,64668
1096,64410
1097,63939
1098,64576
1099,63835
1100,64688
1101,64784
1102,64349
1103,64147
1104,64452
1105,64487
1106,64826
1107,64929
1108,64760
1109,64622
1110,64991
1111,65177
1112,65235
1113,65489
1114,65141
1115,66193
1116,65808
1117,65368
1118,65473
1119,66428
1120,65639
1121,65744
1122,65450
1123,65879
1124,66242
1125,65966
1126,66117
1127,65912
1128,65871
1129,66075
1130,66205
1131,66463
1132,66891
1133,66730
1134,66605
1135,66766
1136,66658
1137,67063
1138,67288
1139,67208
1140,67295
1141,67010
1142,67031
1143,67446
1144,68321
1145,67552
1146,67190
1147,66743
1148,67333
1149,67634
1150,67853
1151,67652
1152,67576
1153,67845
1154,67962
1155,67960
1156,67765
1157,68320
1158,68231
1159,68541
1160,68344
1161,68192
1162,68829
1163,68500
1164,68578
1165,68215
1166,68568
1167,68642
1168,68765
1169,69180
1170,69100
1171,69348
1172,69290
1173,69445
1174,69237
1175,68570
1176,69117
1177,69251
1178,69255
1179,69230
1180,68943
1181,69247
1182,69404
1183,69388
1184,69499
1185,69933
1186,69949
1187,69520
1188,70089
1189,69777
1190,69865
1191,70168
1192,70016
1193,70392
1194,70707
1195,69961
1196,70503
1197,69914
1198,70629
1199,70508
1200,70732
1201,70469
1202,70513
1203,70823
1204,70868
1205,71400
1206,70852
1207,70985
1208,70891
1209,70907
1210,71696
1211,70793
1212,70788
1213,71466
1214,71795
1215,72030
1216,72009
1217,71398
1218,71862
1219,72304
1220,71138
1221,71609
1222,72301
1223,71203
1224,71654
1225,72004
1226,71845
1227,71970
1228,72376
1229,72143
1230,72062
1231,71907
1232,71703
1233,72440
1234,72852
1235,72083
1236,72521
1237,72739
1238,72798
1239,72369
1240,72289
1241,73024
1242,73361
1243,72491
1244,73702
1245,72849
1246,73339
1247,72918
1248,72886
1249,73744
1250,72852
1251,73758
1252,73385
1253,73746
1254,73675
1255,73903
1256,74061
1257,74233
1258,74551
1259,74714
1260,73870
1261,73768
1262,74421
1263,73829
1264,74353
1265,74032
1266,74968
1267,74208
1268,74772
1269,73702
1270,74572
1271,74587
1272,74729
1273,74253
1274,75079
1275,75350
1276,75786
1277,75272
1278,75034
1279,75231
1280,75714
1281,75395
1282,75351
1283,76101
1284,76170
1285,75346
1286,75857
1287,75969
1288,75739
1289,75846
1290,76036
1291,75311
1292,76569
1293,76577
1294,75455
1295,76500
1296,76041
1297,75681
1298,75886
1299,76296
1300,76507
1301,77030
1302,76201
1303,76720
1304,76509
1305,76453
1306,76415
1307,76822
1308,77050
1309,77013
1310,76479
1311,76734
1312,77467
1313,77190
1314,76905
1315,76654
1316,77604
1317,77749
1318,77647
1319,77521
1320,77504
1321,77054
1322,77148
1323,77100
1324,77771
1325,77451
1326,77848
1327,77848
1328,78398
1329,77836
1330,78024
1331,77827
1332,77682
1333,78688
1334,78402
1335,78562
1336,78575
1337,78063
1338,79120
1339,78266
1340,78414
1341,79443
1342,78643
1343,78814
1344,78774
1345,78489
1346,78409
1347,78853
1348,78757
1349,79111
1350,78899
1351,78948
1352,79119
1353,79417
1354,79192
1355,79212
1356,78940
1357,79415
1358,79400
1359,80211
1360,79511
1361,79663
1362,79681
1363,79901
1364,79471
1365,79713
1366,80139
1367,80164
1368,80398
1369,80050
1370,80900
1371,79841
1372,80153
1373,80540
1374,80855
1375,80680
1376,81031
1377,80229
1378,80512
1379,81300
1380,80541
1381,80656
1382,80671
1383,81605
1384,81663
1385,80794
1386,81063
1387,81113
1388,80843
1389,81252
1390,81343
1391,81182
1392,81317
1393,81762
1394,82027
1395,81955
1396,81763
1397,82286
1398,81317
1399,81858
1400,82574
1401,81738
1402,82439
1403,82674
1404,82004
1405,81803
1406,82300
1407,82555
1408,82930
1409,81941
1410,82508
1411,82504
1412,82137
1413,82314
1414,83022
1415,82833
1416,83298
1417,82619
1418,82461
1419,83301
1420,83100
1421,83491
1422,82920
1423,83395
1424,84007
1425,83126
1426,83001
1427,83091
1428,83742
1429,83824
1430,83931
1431,84098
1432,83934
1433,83640
1434,84286
1435,84061
1436,84153
1437,84690
1438,83814
1439,84625
1440,84640
1441,84080
1442,85114
1443,84258
1444,84231
1445,84908
1446,84569
1447,84510
1448,85006
1449,84753
1450,85139
1451,85265
1452,84643
1453,85241
1454,84759
1455,85625
1456,84957
1457,85304
1458,85324
1459,85892
1460,85570
1461,85433
1462,85598
1463,85297
1464,86439
1465,85924
1466,86129
1467,85629
1468,86270
1469,85888
1470,86630
1471,86070
1472,86381
1473,86946
1474,86837
1475,86304
1476,87185
1477,86435
1478,86891
1479,86234
1480,86708
1481,86529
1482,86592
1483,86679
1484,86954
1485,87168
1486,86856
1487,88151
1488,87187
1489,87188
1490,87285
1491,87130
1492,88245
1493,87823
1494,87715
1495,87817
1496,88469
1497,88368
1498,88132
1499,87757
1500,88069
1501,87926
1502,88627
1503,88137
1504,88300
1505,89340
1506,88749
1507,88328
1508,88404
1509,88581
1510,88766
1511,88400
1512,88685
1513,88825
1514,88538
1515,88957
1516,89033
1517,89508
1518,89632
1519,88962
1520,88922
1521,88386
1522,88819
1523,88699
1524,89409
1525,89222
1526,89588
1527,89417
1528,90012
1529,89893
1530,89701
1531,89582
1532,89870
1533,90204
1534,89829
1535,89879
1536,90539
1537,89516
1538,89847
1539,90653
1540,90252
1541,89821
1542,90121
1543,90215
1544,90433
1545,90293
1546,91490
1547,90695
1548,91077
1549,90788
1550,90282
1551,91307
1552,90638
1553,91239
1554,91427
1555,91057
1556,91643
1557,91381
1558,91105
1559,92187
1560,91269
1561,91073
1562,91611
1563,91221
1564,91882
1565,91624
1566,91996
1567,92200
1568,91752
1569,91899
1570,92102
1571,91783
1572,91909
1573,91869
1574,92855
1575,92846
1576,92216
1577,92361
1578,92354
1579,92763
1580,92582
1581,92030
1582,92458
1583,92850
1584,93189
1585,92775
1586,92803
1587,92635
1588,93189
1589,93119
1590,92855
1591,93033
1592,93425
1593,93688
1594,93244
1595,93565
1596,93068
1597,94004
1598,93443
1599,93563
1600,93182
1601,93463
1602,94053
1603,93895
1604,94415
1605,94020
1606,94032
1607,93865
1608,93647
1609,94238
1610,94190
1611,94816
1612,93875
1613,94434
1614,94748
1615,94288
1616,94560
1617,94592
1618,94011
1619,95826
1620,94643
1621,95510
1622,95160
1623,94977
1624,94688
1625,94866
1626,95076
1627,95000
1628,94464
1629,95278
1630,95089
1631,95406
1632,95626
1633,95349
1634,95614
1635,95639
1636,96267
1637,95749
1638,95596
1639,95920
1640,95969
1641,96352
1642,96068
1643,96344
1644,96519
1645,96149
1646,96520
1647,96027
1648,97084
1649,96738
1650,97081
1651,96267
1652,97246
1653,96549
1654,96878
1655,97006
1656,96868
1657,97192
1658,96866
1659,96758
1660,96961
1661,97542
1662,98107
1663,96987
1664,97430
1665,97588
1666,96574
1667,97798
1668,97811
1669,97551
1670,97731
1671,97592
1672,98329
1673,97654
1674,97961
1675,97894
1676,97845
1677,97694
1678,98358
1679,98200
1680,98186
1681,98089
1682,98740
1683,98685
1684,98489
1685,98536
1686,99258
1687,99025
1688,98404
1689,98177
1690,99055
1691,99879
1692,98557
1693,98899
1694,99409
1695,98418
1696,98917
1697,99385
1698,99193
1699,99358
1700,99527
1701,99623
1702,99981
1703,99386
1704,99132
1705,99222
1706,99816
1707,100221
1708,99529
1709,100133
1710,100761
1711,100221
1712,100658
1713,100190
1714,100082
1715,99993
1716,100077
1717,100671
1718,99905
1719,100471
1720,100006
1721,100982
1722,100547
1723,100456
1724,100545
1725,101264
1726,101138
1727,100693
1728,100810
1729,101436
1730,100689
1731,100727
1732,101150
1733,100917
1734,101728
1735,101480
1736,101124
1737,101050
1738,101225
1739,100889
1740,102043
1741,101947
1742,101875
1743,101570
1744,102520
1745,102394
1746,102157
1747,101955
1748,102136
1749,101890
1750,101857
1751,102602
1752,101853
1753,103059
1754,103029
1755,102206
1756,102878
1757,103180
1758,102308
1759,102601
1760,102740
1761,102507
1762,104009
1763,102871
1764,102707
1765,102864
1766,103258
1767,103469
1768,103084
1769,103024
1770,102982
1771,103186
1772,103350
1773,103136
1774,104181
1775,103559
1776,103754
1777,104154
1778,103356
1779,103584
1780,103554
1781,103250
1782,104007
1783,104318
1784,104209
1785,104330
1786,104012
1787,104214
1788,104177
1789,104478
1790,105386
1791,104080
1792,104301
1793,104926
1794,104419
1795,105097
1796,104854
1797,105251
1798,104971
1799,104673
1800,104804
1801,105895
1802,105501
1803,105509
1804,105298
1805,105601
1806,105181
1807,105348
1808,105548
1809,105667
1810,106029
1811,105923
1812,106543
