"cantidad de llamados", "tiempo"
1122511,1.07373e+09
168358,1.62682e+08
173916,1.68181e+08
160106,1.56353e+08
433740,4.20702e+08
601151,5.72847e+08
611263,5.76839e+08
418321,3.99844e+08
526332,5.028e+08
229999,2.2139e+08
98631,9.68997e+07
47887,4.66005e+07
594051,5.6118e+08
494506,4.72474e+08
330728,3.26373e+08
460310,4.54537e+08
84841,8.38525e+07
742193,7.12828e+08
384731,3.67181e+08
1030310,9.79431e+08
493850,4.75102e+08
99425,9.71282e+07
329396,3.24232e+08
255072,2.47212e+08
596615,5.74607e+08
84773,8.19691e+07
72413,7.07361e+07
109780,1.04998e+08
61187,5.98868e+07
80570,7.99833e+07
355970,3.43067e+08
275334,2.74502e+08
132061,1.33285e+08
373508,3.67828e+08
1602104,1.5298e+09
110663,1.07992e+08
487525,4.65057e+08
288934,2.77644e+08
71602,7.14949e+07
404141,3.9781e+08
260796,2.54062e+08
51506,4.99828e+07
176861,1.69339e+08
93949,9.08845e+07
434824,4.18189e+08
536486,5.1978e+08
83575,8.15545e+07
361834,3.49521e+08
412369,3.9997e+08
138936,1.35338e+08
